year_ceremony;canon_category;name;film;winner
1943;ACTRESS IN A SUPPORTING ROLE;Dame May Whitty;Mrs. Miniver;False
1943;ACTRESS IN A SUPPORTING ROLE;Teresa Wright;Mrs. Miniver;True
1944;ACTOR IN A LEADING ROLE;Humphrey Bogart;Casablanca;False
1944;ACTOR IN A LEADING ROLE;Gary Cooper;For Whom the Bell Tolls;False
1944;ACTOR IN A LEADING ROLE;Paul Lukas;Watch on the Rhine;True
1944;ACTOR IN A LEADING ROLE;Walter Pidgeon;Madame Curie;False
1944;ACTOR IN A LEADING ROLE;Mickey Rooney;The Human Comedy;False
1944;ACTOR IN A SUPPORTING ROLE;Charles Bickford;The Song of Bernadette;False
1944;ACTOR IN A SUPPORTING ROLE;Charles Coburn;The More the Merrier;True
1944;ACTOR IN A SUPPORTING ROLE;J. Carrol Naish;Sahara;False
1944;ACTOR IN A SUPPORTING ROLE;Claude Rains;Casablanca;False
1944;ACTOR IN A SUPPORTING ROLE;Akim Tamiroff;For Whom the Bell Tolls;False
1944;ACTRESS IN A LEADING ROLE;Jean Arthur;The More the Merrier;False
1944;ACTRESS IN A LEADING ROLE;Ingrid Bergman;For Whom the Bell Tolls;False
1944;ACTRESS IN A LEADING ROLE;Joan Fontaine;The Constant Nymph;False
1944;ACTRESS IN A LEADING ROLE;Greer Garson;Madame Curie;False
1944;ACTRESS IN A LEADING ROLE;Jennifer Jones;The Song of Bernadette;True
1944;ACTRESS IN A SUPPORTING ROLE;Gladys Cooper;The Song of Bernadette;False
1944;ACTRESS IN A SUPPORTING ROLE;Paulette Goddard;So Proudly We Hail!;False
1944;ACTRESS IN A SUPPORTING ROLE;Katina Paxinou;For Whom the Bell Tolls;True
1944;ACTRESS IN A SUPPORTING ROLE;Anne Revere;The Song of Bernadette;False
1944;ACTRESS IN A SUPPORTING ROLE;Lucile Watson;Watch on the Rhine;False
1945;ACTOR IN A LEADING ROLE;Charles Boyer;Gaslight;False
1945;ACTOR IN A LEADING ROLE;Bing Crosby;Going My Way;True
1945;ACTOR IN A LEADING ROLE;Barry Fitzgerald;Going My Way;False
1945;ACTOR IN A LEADING ROLE;Cary Grant;None but the Lonely Heart;False
1945;ACTOR IN A LEADING ROLE;Alexander Knox;Wilson;False
1945;ACTOR IN A SUPPORTING ROLE;Hume Cronyn;The Seventh Cross;False
1945;ACTOR IN A SUPPORTING ROLE;Barry Fitzgerald;Going My Way;True
1945;ACTOR IN A SUPPORTING ROLE;Claude Rains;Mr. Skeffington;False
1945;ACTOR IN A SUPPORTING ROLE;Clifton Webb;Laura;False
1945;ACTOR IN A SUPPORTING ROLE;Monty Woolley;Since You Went Away;False
1945;ACTRESS IN A LEADING ROLE;Ingrid Bergman;Gaslight;True
1945;ACTRESS IN A LEADING ROLE;Claudette Colbert;Since You Went Away;False
1945;ACTRESS IN A LEADING ROLE;Bette Davis;Mr. Skeffington;False
1945;ACTRESS IN A LEADING ROLE;Greer Garson;Mrs. Parkington;False
1945;ACTRESS IN A LEADING ROLE;Barbara Stanwyck;Double Indemnity;False
1945;ACTRESS IN A SUPPORTING ROLE;Ethel Barrymore;None but the Lonely Heart;True
1945;ACTRESS IN A SUPPORTING ROLE;Jennifer Jones;Since You Went Away;False
1945;ACTRESS IN A SUPPORTING ROLE;Angela Lansbury;Gaslight;False
1945;ACTRESS IN A SUPPORTING ROLE;Aline MacMahon;Dragon Seed;False
1945;ACTRESS IN A SUPPORTING ROLE;Agnes Moorehead;Mrs. Parkington;False
1946;ACTOR IN A LEADING ROLE;Bing Crosby;The Bells of St. Mary's;False
1946;ACTOR IN A LEADING ROLE;Gene Kelly;Anchors Aweigh;False
1946;ACTOR IN A LEADING ROLE;Ray Milland;The Lost Weekend;True
1946;ACTOR IN A LEADING ROLE;Gregory Peck;The Keys of the Kingdom;False
